epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
2052,252,86.91406 ,99.41406 
2053,253,86.32813 ,99.60938 
2054,254,86.91406 ,99.80469 
2055,255,86.71875 ,99.41406 
2056,256,86.52344 ,99.60938 
2057,257,88.67188 ,99.80469 
2058,258,86.71875 ,98.63281 
2059,259,86.52344 ,99.21875 
2060,260,86.52344 ,98.63281 
2061,261,85.74219 ,99.41406 
2062,262,87.30469 ,99.41406 
2063,263,86.71875 ,98.43750 
2064,264,86.13281 ,98.82813 
2065,265,85.93750 ,98.82813 
2066,266,86.52344 ,99.02344 
2067,267,87.30469 ,99.60938 
2068,268,86.32813 ,99.41406 
2069,269,85.93750 ,99.02344 
2070,270,87.50000 ,99.80469 
2071,271,84.37500 ,99.80469 
2072,272,86.52344 ,99.60938 
2073,273,85.15625 ,98.63281 
2074,274,86.32813 ,99.02344 
2075,275,85.35156 ,98.63281 
2076,276,85.74219 ,99.60938 
2077,277,85.93750 ,99.02344 
2078,278,86.52344 ,99.21875 
2079,279,87.10938 ,99.80469 
2080,280,86.91406 ,98.82813 
2081,281,85.35156 ,99.80469 
2082,282,84.57031 ,98.24219 
2083,283,83.59375 ,98.63281 
2084,284,86.13281 ,98.82813 
2085,285,84.76563 ,99.60938 
2086,286,86.13281 ,99.60938 
2087,287,86.13281 ,99.21875 
2088,288,85.54688 ,98.43750 
2089,289,86.13281 ,98.43750 
2090,290,86.13281 ,99.21875 
2091,291,83.59375 ,97.46094 
2092,292,84.57031 ,98.43750 
2093,293,86.91406 ,98.04688 
2094,294,85.74219 ,98.43750 
2095,295,86.91406 ,98.43750 
2096,296,87.10938 ,98.63281 
2097,297,84.96094 ,97.85156 
2098,298,86.13281 ,98.63281 
2099,299,85.54688 ,98.82813 
2100,300,85.74219 ,97.65625 
2101,301,85.74219 ,98.24219 
2102,302,86.13281 ,98.43750 
